name,latitude,longitude,mndwi
Ozalj Hydroelectric Power Plant Croatia Croatia,45.6143,15.4778,-0.3665107488632202
Peruca Hydroelectric Power Plant Croatia,43.7951,16.5968,-0.4686274826526642
Senj - Senj Hydroelectric Power System Croatia Croatia,45.009998,14.893,-0.4362208843231201
Senj Hydroelectric Power System Croatia Croatia,44.9429,14.9276,-0.4768130481243133
Sklope Hydroelectric Power Plant Croatia Croatia,44.6895,15.2706,-0.3827667534351349
Varazdin Hydroelectric Power Plant Croatia Croatia,46.3479,16.2684,-0.292041003704071
Vinodol Hydroelectric Power System Croatia Croatia,45.2286,14.6736,-0.5524868369102478
Zakucac Hydroelectric Power Plant Croatia,43.4581,16.7027,-0.4443711042404175
?t?chovice I,49.8465,14.4219,-0.1696350872516632
?t?chovice II,49.8465,14.4219,-0.1696350872516632
Dale?ice,49.1245,16.1242,-0.2812286615371704
Dlouhé Strán? I,50.0854,17.1794,-0.4475425779819488
Hnevkovice,49.180417,14.447083,0.2024188786745071
Kamyk republic Kamyk Hydroelectric Power Plant Czech Republic - Kamyk Hydroelectric Power Plant Czech Republic,49.633,14.2468,-0.1831284761428833
Lipno I,48.6333,14.2375,-0.3129174411296844
Nechranice,50.36625,13.412917,0.5226282477378845
Orlík,49.6066,14.1816,-0.1290986537933349
Slapy,49.82354,14.434501,-0.2735312879085541
Slezska Harta,49.89125,17.579583,0.2115678191184997
Strekov republic Strekov Hydroelectric Power Plant Czech Republic - Strekov Hydroelectric Power Plant Czech Republic,50.6386,14.0478,0.0536446534097194
Vir I,49.56625,16.30875,0.1894408911466598
Vrane republic Vrane Hydroelectric Power Plant Czech Republic - Vrane Hydroelectric Power Plant Czech Republic,49.9381,14.3749,-0.0520507581532001
Vranov,48.907917,15.817083,0.1937883794307708
Ahvenkoski,60.5,26.5,-0.4780631959438324
Aittokoski,64.8364584,28.85048,-0.30164635181427
Alakoski,62.55,29.25,-0.4780506789684295
Anjalankoski,60.69833333,26.81611111,-0.2313208729028701
Atro,63.3725,27.98833333,-0.3601442277431488
Finlayson ve,61.5025,23.75944444,-0.1793918907642364
Haapakoski,65.3333,25.2833,-0.5248533487319946
Hamari,64.07555556,24.57944444,-0.3488773703575134
Hietamankoski,62.59944444,25.575,-0.3805767297744751
Hilmonkoski,63.06333333,25.33722222,-0.3999214768409729
Hirvikoski,62.80944444,23.03583333,-0.4771163165569305
Imatra Imatra - Imatra Hydroelectric Power Plant Finland,61.166797,28.774695,-0.2858395874500274
Inkeroinen ve,60.71027778,26.81361111,-0.3220822215080261
Isohaara,65.797083,24.549583,-0.3581529855728149
Juankoski,63.0675,28.33861111,-0.3672485947608948
Jumisko,66.3333,28.15,0.4803682565689087
Juotas,63.5,22.5333,-0.4797702133655548
Jylhama,64.57875,26.76625,-0.3626195192337036
KAVO Koivukoski III,64.22333333,27.78444444,-0.4115954935550689
Hinkua,63.70194444,25.35222222,0.3633727431297302
Kaaranneskoski,66.647,24.4266,-0.4594621956348419
Kaihua,66.35,26.85,-0.4382754862308502
Kaitfors,63.694,23.4009,-0.4154897332191467
Kaltimo,62.807917,30.179583,0.2312768548727035
Karjalankoski,63.04472222,28.30416667,-0.4104721248149872
Katerman vesivoimalaitos,64.09611111,28.97388889,-0.4287817776203155
Kattilakoski,63.47,23.30638889,-0.4113068878650665
Keltti hydropower plant,60.87361111,26.61444444,-0.0830150991678237
Kelukoski,67.45555556,26.59833333,-0.2070750743150711
Kierikki,65.35944444,25.91,-0.4879473745822906
Killinkoski,62.4,23.8667,-0.3368163108825683
Kiltua,63.828,27.8391,-0.4597801864147186
Kokkosniva,67.22305556,27.32111111,-0.1177148446440696
Kolsi,61.27333333,22.355,-0.1399572193622589
Korkeakoski,60.53138889,26.9075,-0.2816332876682281
Kuhankoski,62.37583333,25.9475,-0.232572540640831
Kuokkastenkoski,63.54111111,28.95361111,-0.5146435499191284
Kurittukoski,67.85861111,26.71472222,-0.0238395258784294
Kurkiaska,67.285,26.72861111,-0.3851953446865082
Kuurna,62.70527778,29.8725,-0.3691346049308777
Kuusankoski hydropower plant,60.9075,26.64944444,-0.3131085336208343
LSV Harjavallan vesivoimalaitos,61.33777778,22.11555556,0.218093067407608
Leppikoski,64.45555556,27.88722222,-0.2760125994682312
Leuhunkoski,62.66777778,25.26916667,-0.320688784122467
Lieksankoski,63.3362,30.03768,-0.4444231390953064
Maalismaa,65.31083333,25.69361111,-0.3481898307800293
Mankala,60.92694444,26.26805556,-0.210371196269989
